酒店评论ID,城市,酒店名称,评论日期,评论内容,入住日期,入住房型,实体编码
1011,茂名,茂名南越印象岭南文化主题酒店火车站店,2018-12-12,很有格调哦，房间空间比较大，床也舒服,2018-12-12,精品大床房,OOOOOOOOOOOOOOOOOO
1012,茂名,茂名南越印象岭南文化主题酒店火车站店,2018-12-13,环境好 服务好，外卖前台给送房间。很贴心的服务哦。,2018-12-13,精品大床房,OOOOOOOOOOOOOOOOOOOOOOOOO
1013,茂名,茂名卓钰精品酒店,2018-12-14,早餐附近很方便，加床不清楚可以直接致电酒店，酒店位置还可以，附近有吃的还有个大商场,2018-12-14,豪华单人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1014,茂名,化州汇嘉大酒店,2018-12-15,前台人员随意挂断电话。大冬天的，被子不够厚，被冷到感冒。,2018-12-15,特惠单人间,OOOOOOOOOOOOOOOOOOOOOOOOOOOO
1015,茂名,茂名诚荟酒店,2018-12-16,还可以，比七天好,2018-12-16,豪华大床房,OOOOOOOO
1016,茂名,茂名海云雁酒店,2018-12-17,卫生环境房间都很满意，停车方便,2018-12-17,高级双人房,OOOOOOOOOOOOOOO
1017,茂名,茂名威利国际酒店,2018-12-18,位置中心，吃饭方便，服务态度很好，早餐可以,2018-12-18,豪华大床房,OOOOOOOOOOOOOOOOOOOOO
1018,茂名,茂名柏丽酒店,2018-12-19,酒店环境卫生不错，服务态度很好,2018-12-19,豪华单人房,OOOOOOOOOOOOOOO
1019,茂名,城市便捷酒店(茂名学府店),2018-12-20,酒店位于大学附近，房间设施齐全，房间宽敞明亮，干净整洁，早餐丰盛，饭菜美味可口，酒店工作人员服务态度非常好，,2018-12-20,商务单人间,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1020,茂名,茂名南越印象岭南文化主题酒店火车站店,2018-12-21,性价比超高，服务也很好，地段优越，离茂名石化办公楼很近,2018-12-21,精品大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOO
1021,茂名,城市便捷酒店(茂名学府店),2018-12-22,性价比较高，还是想去的。,2018-12-22,特价商务双人房,OOOOOOOOOOOO
1022,茂名,茂名观海楼假日酒店,2018-12-23,非常美好的一次出行，酒店环境优美，服务热情，早餐赞  族行好去处，下次有机会还会再来,2018-12-23,豪华舒适双床间,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1023,茂名,茂名永利之家,2018-12-24,房间太小了，空调还漏水，唉:-(,2018-12-24,标准单人间,OOOOOOOOOOOOOOOO
1024,茂名,茂名国际大酒店,2018-12-25,早餐还可以，不太适合我的口味，加不了床，双床是1.3米的很宽了，跟孩子睡没问题，酒店位置市中心，购物吃饭很方便，还能免费停车。,2018-12-25,豪华双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1025,茂名,茂名海豚酒店,2018-12-26,周边环境比较乱，离中国第一滩有七八百米远。服务人员也不是很热情。设施一般，比较陈旧。其实可选离海滩更近的位置更好的酒店。,2018-12-26,标准单人房,OOOOOOOOOOOBIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOOO
1026,茂名,尚客优连锁酒店(茂名高铁火车站店),2018-12-27,已经是第二次入住茂名这家酒店了，感觉和上次一样，基本保持了原来的服务水平，不错。酒店位置在闹市区附近，有自己的地下停车场。,2018-12-27,特惠房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1027,茂名,茂名红金鼎商务宾馆,2018-12-28,很不错的酒店，环境不错，很安静，关键是服务态度很好，出门过了天桥过去就是茂名中心广场，还可以去休闲娱乐,2018-12-28,高级双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOO
1028,茂名,维也纳国际酒店(茂名高铁火车站店),2018-12-29,這次出行全部選擇維也納酒店，這個品牌的酒店真的很好，設施很好很新，雖然是全國連鎖酒店，但品質真的很好！也很安靜，沒有嘈雜聲，住的也很舒服，枕頭床舖都很適合人體工學！早餐也很給力！窗戶可以打開一點來通風！唯一不足的是酒店沒有區分吸煙房和無菸房，房間煙味太大了，雖然已經開了窗戶通風,2018-12-29,标准大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1029,茂名,卓越酒店(茂名万达广场店),2018-12-30,性价比不错,2018-12-30,卓怡双床房,OOOOO
1030,茂名,茂名好来登商务酒店,2018-12-31,性价比高，位置还好找，干净卫生,2018-12-31,豪华单人房,OOOOOOOOOOOOOOO
1031,茂名,茂名观海楼假日酒店,2019-01-01,酒店开窗即可见大海，下楼几步就是中国第一滩，停车方便，周边海鲜大排档很多，价格相对实惠便宜，品种丰富，适合休闲度假,2019-01-01,无敌海景大床房,OOOOOOOOOOOOOOOOOOBIIOOOOOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOOO
1032,茂名,52连锁酒店(化州店),2019-01-02,酒店装饰很温馨，店员也很热情，位置正市中心，方便快捷，遇到一些小事故，店员配合很好，性价比很高的酒店,2019-01-02,轻心单人房（独立WIFI）,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1033,茂名,轻住悦享酒店(茂名高铁南站店),2019-01-03,酒店设施一般，卫生干净，酒店位置出入停车方便,2019-01-03,特价单人房,OOOOOOOOOOOOOOOOOOOOOO
1034,茂名,卓越酒店(茂名万达广场店),2019-01-04,开开心心回家喝,2019-01-04,卓怡大床房,OOOOOOO
1035,茂名,茂名熹龙国际大酒店,2019-01-05,茂名熹龙国际酒店地理位置不错就在人民广场附近，交通便利茂名高铁站步行11分钟左右，酒店装修典雅环境舒适前台服务不错入住办理快捷，房间空间较大装修豪华，洗漱用品不错，隔音效果不错安静，早餐味道不错品种较少，价格比较实惠，性价比不错,2019-01-05,高级双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1036,茂名,维也纳国际酒店(茂名万达广场店),2019-01-06,强烈推荐！不错的酒店,2019-01-06,标准大床房,OOOOOOOOOO
1037,茂名,城市便捷酒店(茂名学府店),2019-01-07,石油化工学校隔壁，我觉得挺不错的，房间不会特别小，就是靠近公路边可能会有点吵，其他没什么问题，体验感还是相当好的,2019-01-07,特价商务单人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1038,茂名,茂名柏丽酒店,2019-01-08,环境不错，也很卫生，睡得比较舒服,2019-01-08,豪华单人房,OOOOOOOOOOOOOOOO
1039,茂名,茂名柏丽酒店,2019-01-09,还行吧，整体不错，房间很干净，环境好，性价比可以的，被子也很蓬松，卫生好……推荐入住……地理位置好。,2019-01-09,豪华单人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1040,茂名,卓越酒店(茂名万达广场店),2019-01-10,物美价廉！,2019-01-10,卓怡大床房,OOOOO
1041,茂名,卓越酒店(茂名万达广场店),2019-01-11,环境好，安静，设备也OK,2019-01-11,卓遇大床房,OOOOOOOOOOOO
1042,茂名,茂名文汇酒店,2019-01-12,房间宽大干净卫生，地处市中心但夜里休息十分安静，自助早餐近二十个品种够丰富，在消毒车备用的餐具还带有余温，卫生彻底放心，服务热情还送了水果，200元左右性价比超高！值得再过入住和推荐。,2019-01-12,特惠双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1043,茂名,茂名南越印象岭南文化主题酒店火车站店,2019-01-13,非常好，满意！卫生干净，被子，毛巾等都放心使用，床也舒适柔软，隔音也好哦，连续入穿还有小吃，贴心，第二次入住了。入住回头率百分百哈,2019-01-13,精品大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1044,茂名,茂名卓钰精品酒店,2019-01-14,高大上，舒服。,2019-01-14,豪华单人房,OOOOOOO
1045,茂名,城市便捷酒店(茂名学府店),2019-01-15,酒店附近吃饭的餐厅多菜品很不错，早餐也很丰富，品种较多，味道也挺不错的。酒店的位置非常好，出行十分方便，酒店还可以代叫出租车，周围有公交车站。,2019-01-15,商务单人间,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1046,茂名,52连锁酒店(化州店),2019-01-16,各方面都不错。02服务员的态度真心不错。,2019-01-16,轻心小屋（独立WIFI）,OOOOOOOOOOOOOOOOOOOO
1047,茂名,茂名大龙湾酒店,2019-01-17,酒店门口和景区门口相遥可见，忘记拍照片了，酒店的设施蛮齐全的，老板人特别好。满星好评。,2019-01-17,标准单人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1048,茂名,茂名威利国际酒店,2019-01-18,酒店位置很好，离茂名站以及人民广场都很近。周边餐饮很多，很方便。住在不临街的一面，很安静。早餐品种不算多，但有当地特色。房间饮品稍简单，酒店服务还是很好。,2019-01-18,豪华大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1049,茂名,茂名华燕宾馆,2019-01-19,酒店地处繁华地段，有地下停车场，房间很宽敞，干净卫生，免费早餐也不错，唯一的不足之处是电梯经常处于维修状态无法使用，有大件行李的话请慎重考虑！,2019-01-19,豪华三人间,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1050,茂名,52连锁酒店(化州店),2019-01-20,已经是老顾客了，每一次都不让我失望，服务很热情，最喜欢房间的布置了，价格也实惠，祝老板生意兴隆。,2019-01-20,轻心小屋（独立WIFI）,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1051,茂名,维也纳3好酒店(茂名沿江大厦店),2019-01-21,酒店干净卫生，服务规范热情，设施也较齐备好用，特别提出的是服务很热情周到，提出称赞的是酒店保安人员特别细心认真，我的车才停下不久一位性李的保安就发现我的车有漏机油现象，很快就通知了我，使得能很快得以维修，避免了车在路上出大的麻烦，也让我们特别感动，在此特别感谢茂名市维纳斯3好酒店的所有服务人员！谢谢！,2019-01-21,豪华双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1052,茂名,城市便捷酒店(茂名学府店),2019-01-22,服务态度非常好，环境非常好，赞,2019-01-22,特价商务单人房,OOOOOOOOOOOOOOO
1053,茂名,化州汇嘉大酒店,2019-01-23,还不错，房间大，就是自己不习惯酒店的暗黄灯光，一切都好。,2019-01-23,豪华江景情侣房,OOOOOOOOOOOOOOOOOOOOOOOOOOOO
1054,茂名,茂名华燕宾馆,2019-01-24,早餐还不错，吃得饱。只是拉窗帘要注意，下面那个布那里是不是靠着杯子，不注意一拉，杯子就掉了，就要赔钱了！！里面啥啥都要钱，看清楚在使用！,2019-01-24,豪华商务房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1055,茂名,精途酒店(茂名高铁火车站店),2019-01-25,早餐还可以，旁边有条火车轨道，虽然深夜没火车但是白天到夜晚偶尔会有火车经过,2019-01-25,标准大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1056,茂名,维也纳国际酒店(茂名高铁火车站店),2019-01-26,定双人房，前台接待看见抱孩子就给免费升级亲子房，前台人员态度很好，有亲和力，是培训过的专业人士。房间设施不错，下次经过茂名还会去。,2019-01-26,商务双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1057,茂名,茂名荔晶大酒店,2019-01-27,早餐不错，吃得蛮好，9:30去吃，午饭都可以省了,2019-01-27,商务房,OOOOOOOOOOOOOOOOOOOOOOOO
1058,茂名,茂名柏丽酒店,2019-01-28,酒店设施好，性价比高，只是在修路，找的麻烦点。,2019-01-28,商务双人房,OOOOOOOOOOOOOOOOOOOOOOO
1059,茂名,茂名诚荟酒店,2019-01-29,环境不错的,2019-01-29,豪华双人房,OOOOO
1060,茂名,维也纳国际酒店(茂名电白店),2019-01-30,环境不错，挺干净卫生的，客服也热情，很舒适 早餐是赠送的，还不错,2019-01-30,豪华大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1061,茂名,维也纳国际酒店(茂名电白店),2019-01-31,家乡的一家酒店，各方面都较维也纳的品牌品质，满意！二楼中餐是卡座的，如果是中式圆桌就好了。停车场是该酒店的亮点，这价格开心,2019-01-31,豪华双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1062,茂名,卓越酒店(茂名万达广场店),2019-02-01,水东唯一现代装修风格漂亮的酒店,2019-02-01,卓遇大床房,OOOOOOOOOOOOOOO
1063,茂名,茂名国际大酒店,2019-02-02,我们带着两个孩子入住的，熊孩子到了酒店很兴奋，把房间弄的很乱，晚上出去吃饭回来的时候，意外的是房间收拾的很干净，还贴心的给我们留了开水，特别感动！房间的热水很快也够颈！自助早餐也意外的没收孩子的餐费，自助餐也蛮丰富的。酒店位于市中心，交通便利，购物和孩子游玩也挺方便！是一次满意愉悦的旅行！,2019-02-02,豪华双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1064,茂名,茂名国际大酒店,2019-02-03,差差差，除了工作人员服务5星，最多3星。酒店啥都要钱 ，泳池水都没有，没有健身房，行政房洗澡漏水。难以吐槽,2019-02-03,行政商务双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1065,茂名,茂名万达广场雅斯特国际酒店,2019-02-04,还好。比较舒适。交通方便！,2019-02-04,豪华单人房,OOOOOOOOOOOOO
1066,茂名,维也纳国际酒店(茂名高铁火车站店),2019-02-05,酒店不错，干净，装修也比较新，其豪华程度可以看看这大堂！房间比较大，尤其是3人间，亲子游，性价比很高！早餐是送的，品种繁多，味道不错！房间,2019-02-05,豪华家庭双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1067,茂名,茂名华燕宾馆,2019-02-06,一开始房间烟味很重，跟前台说后马上换了无烟房，酒店比较正规，还不错,2019-02-06,标准单人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1068,茂名,茂名观海楼假日酒店,2019-02-07,房间没问题，就是整个五楼都没有网络，房间也特别大，住着舒服。,2019-02-07,豪华套房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1069,茂名,茂名观海楼假日酒店,2019-02-08,有停车场，离海特别近，就是早餐太简单了，包子馒头咸菜，屋里很潮，隔音效果特别差，,2019-02-08,无敌海景双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1070,茂名,茂名国际大酒店,2019-02-09,房间整洁、窗户采光都非常棒，向酒店提出的衣服烘干要求，服务员也非常乐意，面带笑容，服务质量不错。我比较喜欢花草，空中花园质量不高，植株管理不是很好，自带双人早餐选择好丰富，满足我胃口，总体不错。,2019-02-09,豪华大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1071,茂名,华海酒店(茂名高铁站店),2019-02-10,早餐还可以，所以没给最低分。订房时没有注意酒店的五楼六楼是KTV！真的吵死了，躺在床上共振，一直吵到深夜一点半，和服务台通话，并告知要打110。后来终于睡着了不敢在去了,2019-02-10,豪华双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1072,茂名,茂名观海楼假日酒店,2019-02-11,很不爽的是，定的海景套房？来的居然只能一个窗角看到的海，是我理解错了吗？其他设备都一般,2019-02-11,家庭海景套房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1073,茂名,星悦酒店(茂名文化广场店),2019-02-12,有停车场，位置不错，周边购物饮食方便。但是床头没有电源插座！酒店说不给，还一本正经地说是考虑安全！然后叫客户自己出去买排插,2019-02-12,标准双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1074,茂名,茂名海豚酒店,2019-02-13,物超所值，位置好，停车方便且免费，服务态度好，热水足，WiFi信号强。附近餐厅多，价格公道。到海边仅几百米。,2019-02-13,标准双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1075,茂名,茂名国际大酒店,2019-02-14,已经几次入住茂名国际酒店，这次前台免费帮我们升级行政豪华房，房间超大，很不错。九点去吃早餐，感觉品种比以前少了，没有以前那么丰富了。但酒店的地理位置很优越，停车也很方便。,2019-02-14,豪华双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1076,茂名,维也纳国际酒店(茂名万达广场店),2019-02-15,非常不错，房间超大，各种设施齐全，卫生间和床铺都很干净，早餐也不错，值得推荐。下次来茂名还住这家酒店。,2019-02-15,豪华双床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1077,茂名,茂名南越印象岭南文化主题酒店火车站店,2019-02-16,很满意，各方面都没什么好挑剔的。位置好，设施新，智能马桶，设计好，早餐品种不多但味道好。周边也很方便。,2019-02-16,行政双人间,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1078,茂名,茂名国际大酒店,2019-02-17,酒店在市中心，位置非常好。停车也方便，停车场地方多啊。早餐很丰盛，食物样式很丰富，尤其是面点，做得很用心很精致，味道也超好，小朋友非常喜欢。 建议开设多床的亲子房，像我这样带两个6、7岁的小朋友就有点尴尬，开双床房拼床都不够地方睡。,2019-02-17,豪华双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1079,茂名,Q加·茂名大喜假日酒店,2019-02-18,设备齐全，酒店环境好，非常喜欢,2019-02-18,商务标准双人房,OOOOOOOOOOOOOOO
1080,茂名,维也纳国际酒店(茂名万达广场店),2019-02-19,有地下停车场。酒店就在路边。好在车不多 噪音不大。早餐需要給好评才有 这一点儿不太好。。酒店离正在建的万达比较远。离中心区也比较远。虽然是行政房 但在装饰装修方面 档次和品味不高 房间价格偏高。,2019-02-19,行政大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1081,茂名,城市便捷酒店(茂名学府店),2019-02-20,一般般，性价比还可以。房间很小。不过比较卫生。出差商务可以考虑。,2019-02-20,金墩双人间(无窗),OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1082,茂名,茂名卓钰精品酒店,2019-02-21,洗手间异味很重，要求换房，却推辞说没房…,2019-02-21,豪华单人房,OOOOOOOOOOOOOOOOOOOO
1083,茂名,茂名观海楼假日酒店,2019-02-22,第一滩唯一最好的酒店，预订的海景房，阳台上直接看海，玲听大海声音。沙滩是见过的最大的沙滩。以后夏天在去。,2019-02-22,无敌海景双床房,BIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOBIOOOOOOOO
1084,茂名,茂名宏悦大酒店,2019-02-23,整体感觉非常好，性价比超高,2019-02-23,豪华大床房,OOOOOOOOOOOOO
1085,茂名,化州汇嘉大酒店,2019-02-24,没有地方洗衣服，没有洗衣液。,2019-02-24,豪华江景情侣房,OOOOOOOOOOOOOO
1086,茂名,茂名永利之家,2019-02-25,感觉还是不错的，价格还算合理，环境比较安静，有上网的电视，空调，热水器这些都有，也有凉衣服的地方，总体来说还是不错的！,2019-02-25,标准单人间,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1087,茂名,茂名柏丽酒店,2019-02-26,不能加床，环境还是挺好的，楼下还有一间一茶一点，可以去喝茶，还有一家药店在附近，非常之方便，非常的好，值得奖励,2019-02-26,豪华单人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1088,茂名,Q加·茂名大喜假日酒店,2019-02-27,住了这么多年酒店，第一次给差评，实在是受不了！在水东160多的房价，就这设备，门锁是坏的，出一次门回来要开20分钟，设备老久，我从来都没给过差评，本来也就忍了，早上刷牙发现牙刷，什么的都没有，最搞笑的房间里的电话你是不能拨打给前台的，哈哈真牛，我穿条裤衩从7楼跑下1楼找你要是吗？,2019-02-27,豪华商务房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1089,茂名,唐华商务酒店(茂名高铁火车站店),2019-03-01,感觉还算可以吧！,2019-03-01,标准双床房B,OOOOOOOO
1090,茂名,卓越酒店(茂名万达广场店),2019-03-02,nice 可以,2019-03-02,卓见大床房,OOOOOOO
1091,茂名,Q加·茂名大喜假日酒店,2019-03-03,服务态度好，酒店设施好，环境好。,2019-03-03,豪华蜜月房,OOOOOOOOOOOOOOOO
1092,茂名,化州铭丰假日酒店,2019-03-04,位置比较好的，就是床硬了点,2019-03-04,特惠房,OOOOOOOOOOOOO
1093,茂名,维也纳国际酒店(茂名万达广场店),2019-03-05,环境不错往着也舒服，出差不错的选择好,2019-03-05,豪华双床房,OOOOOOOOOOOOOOOOOO
1094,茂名,城市便捷酒店(茂名学府店),2019-03-06,酒店位置比邻油校和大超市，购物和逛校园重温大学时光都超级好,2019-03-06,金墩双人间(无窗),OOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1095,茂名,维也纳国际酒店(茂名万达广场店),2019-03-07,环境可以 ，床真的好软\()/服务真的周到。哈哈哈，是第二次出差入住了，再来出差宿考虑再次入住。,2019-03-07,豪华大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1096,茂名,维也纳国际酒店(茂名万达广场店),2019-03-08,很安静，性价比高。岀差的不二选择，周围交通也很方便！,2019-03-08,标准大床房,OOOOOOOOOOOOOOOOOOOOOOOOOO
1097,茂名,精途酒店(茂名高铁火车站店),2019-03-09,还不错啊！,2019-03-09,标准大床房,OOOOO
1098,茂名,维也纳国际酒店(茂名万达广场店),2019-03-10,地下有免费停车场，很方便，很舒适，很安静。,2019-03-10,豪华双床房,OOOOOOOOOOOOOOOOOOOOO
1099,茂名,维也纳国际酒店(茂名万达广场店),2019-03-11,酒店还很新，第二次入住了。早餐比较简单，但足够吃饱。平时入住性价比还是比较高的。周围很多大排档。。。,2019-03-11,标准大床房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1100,茂名,维也纳国际酒店(茂名万达广场店),2019-03-12,该酒店很不错，房间比较大，舒适时尚，可以选择。,2019-03-12,豪华双床房,OOOOOOOOOOOOOOOOOOOOOOO
1101,茂名,Q加·茂名大喜假日酒店,2019-03-13,房间较大不过灯光不是很足，没有早餐，周边吃的很多，楼下有超市，有地方停车，网络不是很好，性价比还行。,2019-03-13,商务标准双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
