餐饮评论ID,城市,餐饮名称,评论日期,评论内容,标题,实体编码
1072,茂名,尊霸披萨,2018-01-30,好吃！榴莲披萨太香太好吃了，芝士也很香！比必胜客好吃多了，新开的店就在楼下，女儿很爱吃。,超值单人套餐，包间免费,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1073,茂名,果之度（迎宾三路店）,2018-01-30,太小了，味道还行，团购便宜。值得品尝,榴莲千层切糕1份,OOOOOOOOOOOOOOOOOO
1074,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-30,好吃，全家的榴莲千层指定购买店,土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆,OOOOOOBIIIOOOOO
1075,茂名,小乔紫菜卷（小乔店）,2018-02-01,一如既往支持本店紫菜卷，量多，好味,紫菜肉松卷1份，提供免费WiFi,OOOOOOOOOOOOOOOOO
1076,茂名,驰名湘菜馆,2018-02-02,上菜慢，味道一般，冲着酸菜鱼去的，一点酸味都没，在图上见到几块鱼就几块。。。,2-3人经典餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1077,茂名,清香面包店（车田街店）,2018-02-03,店主免费送货上门，蛋糕好吃，分量足，一天没吃完，放到第二天也很好吃！很实惠，四个人一次都吃不完！很满意！,水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1078,茂名,丰年面包店（茂南区店）,2018-02-04,栗子蛋糕挺好吃的，因为太激动所以没有拍照片一下子吃光了，然后服务态度也挺好，接电话的人声音挺好听的,2磅栗子蓉蛋糕1+2磅卡通蛋糕1,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1079,茂名,优之品西点,2018-02-05,美美哒！便宜又好吃！已经是第二次买啦…下次再来,蛋糕7选1,OOOOOOOOOOOOOOOOOOOOOOO
1080,茂名,优之品西点,2018-02-05,很好吃，口感不错，位置很好找！,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOO
1081,茂名,小乔紫菜卷（小乔店）,2018-02-05,这里的紫菜卷非常的好吃卫生挺干净多,蟹柳海草紫菜卷1份,OOOOOOOOOOOOOOOOO
1082,茂名,甜在心扉千层蛋糕（茂名店）,2018-02-05,好喜欢吃这家的蛋糕，,约3磅（双层版）榴莲千层蛋糕1个，约3磅，圆形,OOOOOOOOOO
1083,茂名,爱可咖啡馆（茂南店）,2018-02-05,老板们超级好，超级温柔的小姐姐。很喜欢这里，很舒服。饮品也好喝。赞,饮品6选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1084,茂名,小乔紫菜卷（小乔店）,2018-02-06,味道感觉比以前差点了，老板的笑容什么时候都没见有的。,蟹柳海草紫菜卷1份,OOOOOOOOOOOOOOOOOOOOOOOOOO
1085,茂名,小乔紫菜卷（小乔店）,2018-02-06,一般般，期待服务还需要提高些。,日式蟹肉卷1份，提供免费WiFi,OOOOOOOOOOOOOOO
1086,茂名,甜在心扉千层蛋糕（茂名店）,2018-02-06,有点小啊。比我那个三磅的小好多。,9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形,OOOOOOOOOOOOOOOO
1087,茂名,渔乐码头烤鱼牛蛙晚饭餐厅,2018-02-07,好食，味道唔错，我选的青椒味，很鲜的感觉，麻麻的，环境也好，干净温馨，居然有九只口味，那个百香果汁好好饮，三个人去食好抵手，还会再来,2-3人超值套餐,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1088,茂名,旺角亭（为民店）,2018-02-07,服务好差，叫美团都不送的，也不打电话告知一声,大胃王单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOO
1089,茂名,旺角亭（为民店）,2018-02-07,比较贵吧，味道不错，性价比不高，。。。,休闲单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOO
1090,茂名,功夫鸡排（光华北路店）,2018-02-08,超好,小吃6选1，提供免费WiFi,OO
1091,茂名,功夫鸡排（光华北路店）,2018-02-08,还行 挺好吃的,小吃6选1，提供免费WiFi,OOOOOOO
1092,茂名,甜在心扉千层蛋糕（茂名店）,2018-02-08,多肉版的榴莲千层超棒，味道很好，榴莲味很浓。榴莲肉真的好多，吃起来好满足！如果团购再便宜一点就好了！,土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆,OOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1093,茂名,爱可咖啡馆（茂南店）,2018-02-09,好地方但是消费较高 。。。。。。,爱可轰趴包场套餐1小时,OOOOOOOOOOOOOOOO
1094,茂名,丰年面包店（茂南区店）,2018-02-10,因为急要，临时催单的，店家也尽量赶出给我，真感谢，辛苦了！价廉物美，甜度适中，非常适合。,4磅水果夹心蛋糕1个，约10英寸，圆,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1095,茂名,甜在心扉千层蛋糕（茂名店）,2018-02-12,土豪加料很足，不错，以后就这家了,土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆,OOOOOOOOOOOOOOOO
1096,茂名,爱可咖啡馆（茂南店）,2018-02-12,很多东西都真的很好吃 而且环境很好 适合小聚带男朋友去也挺好的哈哈 #西冷牛排# #肉酱意面# #鸡扒# #卡布奇诺# #西冷#,饮品6选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOO
1097,茂名,小乔紫菜卷（小乔店）,2018-02-13,很好吃，我很喜欢，下次和朋友一起去,蟹柳海草紫菜卷1份,OOOOOOOOOOOOOOOOO
1098,茂名,爱可咖啡馆（茂南店）,2018-02-14,菜都挺有特色的环境也很卫生就是麦太烂了,爱可轰趴包场套餐1小时,OOOOOOOOOOOOOOOOOOO
1099,茂名,爱丽丝音乐餐吧,2018-02-17,草莓味的miss kitty,双人超值鸡尾酒套餐，包间免费,OOOOOOOOOOOOOO
1100,茂名,果之度（迎宾三路店）,2018-02-19,味道不错颜色不错老板不错环境不错,榴莲千层切件+粒粒芒果爽，建议单人使用,OOOOOOOOOOOOOOOO
1101,茂名,瀛食精致料理,2018-02-20,#芒果寿司# #三文鱼厚切# #有机蔬菜沙拉# #寿司#,双人餐，提供免费WiFi,OOOBIOOOOOOOOOOOOOBIOOOOOBIO
1102,茂名,盛香烧鹅（东方市场店）,2018-02-20,好评,主食3选1，有赠品,OO
1103,茂名,盛香烧鹅（东方市场店）,2018-02-20,好评,主食3选1，有赠品,OO
1104,茂名,小乔紫菜卷（小乔店）,2018-02-20,奶茶太甜，紫菜卷味道一般，估计下次不会选择消费了。,甜品2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOO
1105,茂名,鲜饮时光（高州店）,2018-02-20,二楼环境不错，个人觉得套餐A比较好吃，比较合本人胃口，总体不错,超值寿司套餐，建议3-4人使用,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1106,茂名,鲜饮时光（高州店）,2018-02-20,这个套餐我觉得是最好吃的，推荐一下,双人餐A1份，提供免费WiFi,OOOOOOOOOOOOOOOOO
1107,茂名,鲜饮时光（高州店）,2018-02-20,饮料还可以，也挺多柠檬的，就是到后面有点苦,金桔柠檬1份，提供免费WiFi,BIOOOOOOOOOOOOOOOOOOO
1108,茂名,优乐堡（开发区店）,2018-02-21,经常吃这个，鸡肉卷和骨肉都很不错,超值汉堡单人餐，提供免费WiFi,OOOOOOOOOOOOOOOO
1109,茂名,优乐堡（开发区店）,2018-02-21,性价比高，就这点就可以了(),滋味烤鸡双人餐，提供免费WiFi,OOOOOOOOOOOOOO
1110,茂名,盛香烧鹅（东方市场店）,2018-02-22,慢到爆表，很失望，以后不想来了,主食3选1，有赠品,OOOOOOOOOOOOOOO
1111,茂名,优乐堡（开发区店）,2018-02-22,很好，来过很多次了，希望多搞优惠！每次都会买几份！,汉堡+鸡腿套餐，建议单人使用,OOOOOOOOOOOOOOOOOOOOOOOOO
1112,茂名,优乐堡（开发区店）,2018-02-22,很好，来过很多次了，希望多搞优惠！,汉堡+鸡腿套餐，建议单人使用,OOOOOOOOOOOOOOOOO
1113,茂名,爱丽丝音乐餐吧,2018-02-22,很不错呢,双人超值饮品套餐，包间免费,OOOO
1114,茂名,清香面包店（车田街店）,2018-02-22,榴莲千层味道一如既往的好，价格又实惠！主要的是榴莲多，良心卖！ #水果忌廉夹心# #栗子蓉蛋糕# #榴莲千层蛋糕#,榴莲千层蛋糕1个，约2磅，圆,BIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOO
1115,茂名,鲜饮时光（高州店）,2018-02-22,不错呢,双人餐A1份，提供免费WiFi,OOO
1116,茂名,优乐堡（开发区店）,2018-02-23,服务周到，分量很足，环境不错。,汉堡+鸡腿套餐，建议单人使用,OOOOOOOOOOOOOOO
1117,茂名,尊霸披萨,2018-02-23,热热的水果好吃,披萨15选1，提供免费WiFi,OOOOOOO
1118,茂名,鲜饮时光（高州店）,2018-02-23,一杯奶茶还有8、9粒鱼蛋，性价比很高，店主很热情，速度很快。,一份咖喱鱼蛋+一杯珍珠奶茶，建议单人使用,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1119,茂名,甜在心扉千层蛋糕（茂名店）,2018-02-23,蛋糕的味道还可以，价格蛮优惠的,9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形,OOOOOOOOOOOOOOO
1120,茂名,瀛食精致料理,2018-02-24,一个人去吃，这个套餐刚好，好好享受了午餐,套餐2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOO
1121,茂名,茂名浪漫海岸温德姆酒店望海餐厅,2018-02-24,味道一般，环境不错，价格还可以吧,奶油南瓜汤、奶油土豆汤、海鲜沙拉、安格斯肉眼牛排、纽西兰羊排、提拉米苏、拿破仑酥、鲜榨果汁2杯1份,OOOOOOOOOOOOOOOO
1122,茂名,旺角亭（为民店）,2018-02-24,小孩喜欢吃,大胃王单人套餐，提供免费WiFi,OOOOO
1123,茂名,驰名湘菜馆,2018-02-24,上菜比较慢，味道很好吃,2-3人美味餐，提供免费WiFi,OOOOOOOOOOO
1124,茂名,爱可咖啡馆（茂南店）,2018-02-24,东西不好吃，上菜特别慢！太咸了,爱可单人扒餐，提供免费WiFi,OOOOOOOOOOOOOOO
1125,茂名,渔乐码头烤鱼牛蛙晚饭餐厅,2018-02-25,性价比高,2-3人超值套餐,OOOO
1126,茂名,茂香面包坊总店,2018-02-25,没给蜡烛，盘，叉，刀，什么都没有 ，太失望。,"蛋糕2选1,约3磅，圆",OOOOOOOOOOOOOOOOOOOOOO
1127,茂名,优之品西点,2018-02-25,口感很好，材料新鲜，价格实惠，下次还会再来光顾,"蛋糕4选1,约3磅，圆形",OOOOOOOOOOOOOOOOOOOOOOO
1128,茂名,优之品西点,2018-02-25,蛋糕很好吃，奶油不甜腻,"蛋糕4选1,约3磅，圆形",OOOOOOBIOOO
1129,茂名,甜在心扉千层蛋糕（茂名店）,2018-02-25,很好吃我和孩子很喜欢！,榴莲千层切件1个，约1件，三角形,OOOOOOOOOOO
1130,茂名,果之度（迎宾三路店）,2018-02-25,还好,榴莲千层蛋糕1个，约2磅，圆形,OO
1131,茂名,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018-02-26,榴莲千层味道挺好。就是感觉比以前份量少了。不过还是一样好吃。,榴莲千层/榴莲雪媚娘2选1,BIIIOOOOOOOOOOOOOOOOOOOOOOOOOO
1132,茂名,优乐堡（开发区店）,2018-02-26,鸡肉卷还是某华好吃，这里的鸡肉卷饼皮较硬。鸡腿超赞，又大又香，满满的肉汁！！！ #炸鸡腿#,汉堡+鸡腿套餐，建议单人使用,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOO
1133,茂名,小乔紫菜卷（小乔店）,2018-02-26,这家店的紫菜卷我吃的那次没什么味道，就是紫菜里面没有味道，口味也不是说很好吃，一般般吧，其他还可以。,百思黑米紫菜卷1份,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1134,茂名,优之品西点,2018-02-27,价格实惠，味道超赞,"蛋糕2选1,约8英寸，圆形",OOOOOOOOO
1135,茂名,小乔紫菜卷（小乔店）,2018-02-27,紫菜卷很好吃，卫生很干净，很满意,紫菜肉松卷1份，提供免费WiFi,OOOOOOOOOOOOOOOO
