语料ID,产品ID,产品名称
景区评论-1026,ID20,博物馆
景区评论-1035,ID21,玻璃桥
景区评论-1036,ID1,海滩
景区评论-1037,ID5,沙滩
景区评论-1048,ID4,海鲜
景区评论-1049,ID19,天马山
景区评论-1056,ID5,沙滩
景区评论-1063,ID5,沙滩
景区评论-1065,ID21,玻璃桥
景区评论-1065,ID19,天马山
景区评论-1069,ID5,沙滩
景区评论-1070,ID22,海陵岛
景区评论-1070,ID4,海鲜
景区评论-1071,ID23,游乐场
景区评论-1071,ID24,摩天轮
景区评论-1080,ID25,北洛湾
景区评论-1080,ID5,沙滩
景区评论-1086,ID4,海鲜
景区评论-1088,ID4,海鲜
景区评论-1088,ID5,沙滩
景区评论-1089,ID26,海滨公园
景区评论-1089,ID23,游乐场
景区评论-1089,ID24,摩天轮
景区评论-1098,ID20,博物馆
景区评论-1109,ID15,东湖
景区评论-1113,ID1,海滩
景区评论-1113,ID22,海陵岛
景区评论-1113,ID4,海鲜
景区评论-1114,ID4,海鲜
景区评论-1114,ID5,沙滩
景区评论-1117,ID4,海鲜
景区评论-1119,ID5,沙滩
景区评论-1124,ID5,沙滩
景区评论-1125,ID4,海鲜
景区评论-1125,ID5,沙滩
景区评论-1126,ID4,海鲜
景区评论-1126,ID5,沙滩
景区评论-1126,ID27,大角湾
景区评论-1131,ID4,海鲜
景区评论-1137,ID28,露天矿生态公园
景区评论-1137,ID29,露天矿
景区评论-1145,ID1,海滩
景区评论-1145,ID5,沙滩
景区评论-1151,ID1,海滩
景区评论-1151,ID5,沙滩
景区评论-1153,ID22,海陵岛
景区评论-1157,ID1,海滩
景区评论-1158,ID1,海滩
景区评论-1158,ID2,第一滩
景区评论-1158,ID4,海鲜
景区评论-1158,ID5,沙滩
景区评论-1159,ID5,沙滩
景区评论-1161,ID5,沙滩
景区评论-1162,ID1,海滩
景区评论-1162,ID5,沙滩
景区评论-1163,ID26,海滨公园
景区评论-1164,ID5,沙滩
景区评论-1166,ID4,海鲜
景区评论-1172,ID1,海滩
景区评论-1172,ID5,沙滩
景区评论-1177,ID5,沙滩
景区评论-1181,ID2,第一滩
景区评论-1181,ID4,海鲜
景区评论-1182,ID4,海鲜
景区评论-1182,ID5,沙滩
景区评论-1183,ID22,海陵岛
景区评论-1185,ID2,第一滩
景区评论-1185,ID4,海鲜
景区评论-1190,ID21,玻璃桥
景区评论-1194,ID22,海陵岛
景区评论-1194,ID4,海鲜
景区评论-1194,ID5,沙滩
景区评论-1197,ID21,玻璃桥
景区评论-1202,ID26,海滨公园
景区评论-1202,ID5,沙滩
景区评论-1208,ID30,十里军港
景区评论-1208,ID26,海滨公园
景区评论-1208,ID23,游乐场
景区评论-1209,ID20,博物馆
景区评论-1215,ID20,博物馆
景区评论-1216,ID31,骑楼
景区评论-1216,ID32,三元塔
景区评论-1216,ID4,海鲜
景区评论-1219,ID4,海鲜
景区评论-1226,ID5,沙滩
景区评论-1230,ID33,御水古温泉
景区评论-1232,ID2,第一滩
景区评论-1232,ID5,沙滩
景区评论-1234,ID5,沙滩
景区评论-1236,ID1,海滩
景区评论-1236,ID22,海陵岛
景区评论-1248,ID3,中心广场
景区评论-1255,ID5,沙滩
景区评论-1258,ID16,饮料
景区评论-1262,ID4,海鲜
景区评论-1264,ID23,游乐场
景区评论-1269,ID34,雷州古城
景区评论-1271,ID1,海滩
景区评论-1271,ID22,海陵岛
景区评论-1271,ID4,海鲜
景区评论-1273,ID35,生蚝
景区评论-1273,ID22,海陵岛
景区评论-1278,ID36,湖光岩
景区评论-1280,ID1,海滩
景区评论-1280,ID5,沙滩
景区评论-1282,ID26,海滨公园
景区评论-1282,ID23,游乐场
景区评论-1287,ID26,海滨公园
景区评论-1292,ID5,沙滩
景区评论-1297,ID21,玻璃桥
景区评论-1304,ID33,御水古温泉
景区评论-1305,ID19,天马山
景区评论-1306,ID5,沙滩
景区评论-1310,ID1,海滩
景区评论-1310,ID22,海陵岛
景区评论-1318,ID20,博物馆
景区评论-1318,ID22,海陵岛
景区评论-1318,ID4,海鲜
景区评论-1318,ID5,沙滩
景区评论-1327,ID21,玻璃桥
景区评论-1330,ID22,海陵岛
景区评论-1330,ID5,沙滩
景区评论-1330,ID27,大角湾
景区评论-1334,ID5,沙滩
景区评论-1335,ID19,天马山
景区评论-1337,ID1,海滩
景区评论-1337,ID2,第一滩
景区评论-1337,ID5,沙滩
景区评论-1346,ID4,海鲜
景区评论-1349,ID26,海滨公园
景区评论-1349,ID24,摩天轮
景区评论-1354,ID20,博物馆
景区评论-1356,ID20,博物馆
景区评论-1357,ID20,博物馆
景区评论-1362,ID37,玉湖
景区评论-1373,ID38,野菠萝公园
景区评论-1385,ID5,沙滩
景区评论-1386,ID24,摩天轮
景区评论-1399,ID5,沙滩
景区评论-1400,ID4,海鲜
景区评论-1404,ID5,沙滩
景区评论-1410,ID39,温德姆酒店
景区评论-1410,ID5,沙滩
景区评论-1415,ID2,第一滩
景区评论-1415,ID5,沙滩
景区评论-1418,ID22,海陵岛
景区评论-1418,ID5,沙滩
景区评论-1421,ID35,生蚝
景区评论-1421,ID4,海鲜
景区评论-1426,ID22,海陵岛
景区评论-1432,ID1,海滩
景区评论-1432,ID22,海陵岛
景区评论-1432,ID4,海鲜
景区评论-1432,ID5,沙滩
景区评论-1435,ID4,海鲜
景区评论-1443,ID13,荔枝
景区评论-1444,ID4,海鲜
景区评论-1444,ID5,沙滩
景区评论-1451,ID4,海鲜
景区评论-1452,ID5,沙滩
景区评论-1458,ID22,海陵岛
景区评论-1458,ID5,沙滩
景区评论-1459,ID1,海滩
景区评论-1460,ID2,第一滩
景区评论-1460,ID5,沙滩
景区评论-1461,ID21,玻璃桥
景区评论-1468,ID26,海滨公园
景区评论-1478,ID1,海滩
景区评论-1485,ID5,沙滩
景区评论-1503,ID1,海滩
景区评论-1503,ID22,海陵岛
景区评论-1503,ID7,早茶
景区评论-1503,ID4,海鲜
景区评论-1503,ID27,大角湾
景区评论-1505,ID5,沙滩
景区评论-1508,ID22,海陵岛
景区评论-1508,ID10,红树林
景区评论-1508,ID5,沙滩
景区评论-1510,ID22,海陵岛
景区评论-1515,ID1,海滩
景区评论-1517,ID36,湖光岩
景区评论-1534,ID5,沙滩
景区评论-1544,ID23,游乐场
景区评论-1548,ID36,湖光岩
景区评论-1549,ID1,海滩
景区评论-1549,ID22,海陵岛
景区评论-1561,ID20,博物馆
景区评论-1567,ID1,海滩
景区评论-1567,ID27,大角湾
景区评论-1568,ID22,海陵岛
景区评论-1568,ID5,沙滩
景区评论-1569,ID20,博物馆
景区评论-1578,ID22,海陵岛
景区评论-1578,ID5,沙滩
景区评论-1578,ID27,大角湾
景区评论-1580,ID22,海陵岛
景区评论-1580,ID4,海鲜
景区评论-1581,ID26,海滨公园
景区评论-1583,ID1,海滩
景区评论-1584,ID22,海陵岛
景区评论-1585,ID26,海滨公园
景区评论-1586,ID22,海陵岛
景区评论-1591,ID1,海滩
景区评论-1591,ID22,海陵岛
景区评论-1591,ID5,沙滩
景区评论-1591,ID16,饮料
景区评论-1594,ID36,湖光岩
景区评论-1594,ID20,博物馆
景区评论-1608,ID5,沙滩
景区评论-1609,ID5,沙滩
景区评论-1621,ID1,海滩
景区评论-1622,ID28,露天矿生态公园
景区评论-1622,ID20,博物馆
景区评论-1622,ID29,露天矿
景区评论-1625,ID40,东南码头
景区评论-1650,ID1,海滩
景区评论-1650,ID5,沙滩
景区评论-1651,ID37,玉湖
景区评论-1661,ID4,海鲜
景区评论-1661,ID5,沙滩
景区评论-1661,ID23,游乐场
景区评论-1666,ID4,海鲜
景区评论-1673,ID13,荔枝
景区评论-1682,ID22,海陵岛
景区评论-1682,ID4,海鲜
景区评论-1682,ID5,沙滩
景区评论-1685,ID41,望海楼
景区评论-1688,ID26,海滨公园
景区评论-1693,ID1,海滩
景区评论-1697,ID5,沙滩
景区评论-1698,ID22,海陵岛
景区评论-1698,ID4,海鲜
景区评论-1698,ID27,大角湾
景区评论-1699,ID20,博物馆
景区评论-1705,ID20,博物馆
景区评论-1708,ID4,海鲜
景区评论-1708,ID5,沙滩
景区评论-1711,ID16,饮料
景区评论-1715,ID38,野菠萝公园
景区评论-1723,ID19,天马山
景区评论-1729,ID42,牛排
景区评论-1734,ID5,沙滩
景区评论-1746,ID5,沙滩
景区评论-1756,ID33,御水古温泉
景区评论-1760,ID1,海滩
景区评论-1760,ID22,海陵岛
景区评论-1775,ID20,博物馆
景区评论-1775,ID5,沙滩
景区评论-1778,ID1,海滩
景区评论-1779,ID20,博物馆
景区评论-1780,ID1,海滩
景区评论-1782,ID36,湖光岩
景区评论-1785,ID30,十里军港
景区评论-1804,ID19,天马山
景区评论-1805,ID28,露天矿生态公园
景区评论-1805,ID29,露天矿
景区评论-1821,ID4,海鲜
景区评论-1840,ID33,御水古温泉
景区评论-1844,ID20,博物馆
景区评论-1846,ID43,新湖公园
景区评论-1849,ID2,第一滩
景区评论-1849,ID5,沙滩
景区评论-1851,ID5,沙滩
景区评论-1860,ID22,海陵岛
景区评论-1860,ID5,沙滩
景区评论-1867,ID36,湖光岩
景区评论-1868,ID10,红树林
景区评论-1868,ID26,海滨公园
景区评论-1868,ID5,沙滩
景区评论-1876,ID44,湛江大桥
景区评论-1876,ID30,十里军港
景区评论-1877,ID21,玻璃桥
景区评论-1891,ID20,博物馆
景区评论-1895,ID1,海滩
景区评论-1897,ID10,红树林
景区评论-1898,ID36,湖光岩
景区评论-1901,ID39,温德姆酒店
景区评论-1901,ID24,摩天轮
景区评论-1905,ID33,御水古温泉
景区评论-1936,ID17,晏镜岭
景区评论-1936,ID45,水东湾
景区评论-1936,ID2,第一滩
景区评论-1936,ID5,沙滩
景区评论-1958,ID5,沙滩
景区评论-1971,ID2,第一滩
景区评论-1992,ID5,沙滩
景区评论-1994,ID36,湖光岩
景区评论-2001,ID41,望海楼
景区评论-2001,ID10,红树林
景区评论-2007,ID2,第一滩
景区评论-2007,ID5,沙滩
景区评论-2010,ID10,红树林
景区评论-2010,ID26,海滨公园
景区评论-2013,ID46,热狗
景区评论-2027,ID5,沙滩
景区评论-2028,ID22,海陵岛
景区评论-2028,ID5,沙滩
景区评论-2033,ID5,沙滩
景区评论-2039,ID1,海滩
景区评论-2048,ID17,晏镜岭
景区评论-2048,ID1,海滩
景区评论-2048,ID2,第一滩
景区评论-2048,ID16,饮料
景区评论-2049,ID4,海鲜
景区评论-2052,ID2,第一滩
景区评论-2052,ID4,海鲜
景区评论-2055,ID5,沙滩
景区评论-2055,ID27,大角湾
景区评论-2057,ID27,大角湾
景区评论-2058,ID21,玻璃桥
景区评论-2058,ID47,高州仙人洞景区
景区评论-2061,ID5,沙滩
景区评论-2062,ID1,海滩
景区评论-2063,ID5,沙滩
景区评论-2068,ID5,沙滩
景区评论-2070,ID41,望海楼
景区评论-2076,ID4,海鲜
景区评论-2076,ID5,沙滩
景区评论-2079,ID1,海滩
景区评论-2079,ID23,游乐场
景区评论-2082,ID4,海鲜
景区评论-2096,ID2,第一滩
景区评论-2109,ID20,博物馆
景区评论-2113,ID1,海滩
景区评论-2115,ID48,赤坎老街
景区评论-2115,ID35,生蚝
景区评论-2115,ID31,骑楼
景区评论-2115,ID26,海滨公园
景区评论-2115,ID4,海鲜
景区评论-2115,ID5,沙滩
景区评论-2115,ID24,摩天轮
景区评论-2116,ID22,海陵岛
景区评论-2116,ID4,海鲜
景区评论-2116,ID5,沙滩
景区评论-2118,ID27,大角湾
景区评论-2120,ID5,沙滩
景区评论-2121,ID5,沙滩
景区评论-2125,ID49,甜品
景区评论-2125,ID4,海鲜
景区评论-2128,ID1,海滩
景区评论-2128,ID10,红树林
景区评论-2128,ID5,沙滩
景区评论-2138,ID1,海滩
景区评论-2139,ID10,红树林
景区评论-2139,ID26,海滨公园
景区评论-2139,ID23,游乐场
景区评论-2140,ID33,御水古温泉
景区评论-2140,ID4,海鲜
景区评论-2140,ID5,沙滩
景区评论-2144,ID5,沙滩
景区评论-2157,ID23,游乐场
景区评论-2159,ID36,湖光岩
景区评论-2161,ID8,I
景区评论-2161,ID36,湖光岩
景区评论-2161,ID20,博物馆
景区评论-2164,ID20,博物馆
景区评论-2164,ID22,海陵岛
景区评论-2166,ID1,海滩
景区评论-2166,ID50,小炒
景区评论-2166,ID5,沙滩
景区评论-2167,ID1,海滩
景区评论-2167,ID5,沙滩
景区评论-2168,ID36,湖光岩
景区评论-2168,ID20,博物馆
景区评论-2169,ID48,赤坎老街
景区评论-2169,ID26,海滨公园
景区评论-2169,ID4,海鲜
景区评论-2169,ID5,沙滩
景区评论-2178,ID1,海滩
景区评论-2178,ID50,小炒
景区评论-2178,ID46,热狗
景区评论-2178,ID5,沙滩
景区评论-2183,ID37,玉湖
景区评论-2184,ID5,沙滩
景区评论-2189,ID10,红树林
景区评论-2190,ID36,湖光岩
景区评论-2193,ID51,雅米乐园
景区评论-2195,ID21,玻璃桥
景区评论-2195,ID47,高州仙人洞景区
景区评论-2200,ID36,湖光岩
景区评论-2203,ID1,海滩
景区评论-2203,ID4,海鲜
景区评论-2203,ID5,沙滩
餐饮评论-1006,ID52,榴莲蛋糕
餐饮评论-1006,ID53,奶油
餐饮评论-1008,ID53,奶油
餐饮评论-1011,ID54,榴莲千层
餐饮评论-1015,ID55,寿司
餐饮评论-1026,ID56,叉烧饭
餐饮评论-1026,ID57,烧鸭饭
餐饮评论-1027,ID56,叉烧饭
餐饮评论-1030,ID53,奶油
餐饮评论-1031,ID53,奶油
餐饮评论-1039,ID53,奶油
餐饮评论-1048,ID53,奶油
餐饮评论-1050,ID52,榴莲蛋糕
餐饮评论-1060,ID11,面包
餐饮评论-1061,ID16,饮料
餐饮评论-1069,ID53,奶油
餐饮评论-1074,ID54,榴莲千层
餐饮评论-1092,ID54,榴莲千层
餐饮评论-1096,ID42,牛排
餐饮评论-1101,ID55,寿司
餐饮评论-1101,ID58,蔬菜
餐饮评论-1107,ID16,饮料
餐饮评论-1114,ID54,榴莲千层
餐饮评论-1128,ID53,奶油
餐饮评论-1131,ID54,榴莲千层
餐饮评论-1132,ID59,炸鸡
餐饮评论-1140,ID54,榴莲千层
餐饮评论-1149,ID53,奶油
餐饮评论-1161,ID42,牛排
餐饮评论-1167,ID53,奶油
餐饮评论-1181,ID53,奶油
餐饮评论-1185,ID52,榴莲蛋糕
餐饮评论-1185,ID54,榴莲千层
餐饮评论-1192,ID55,寿司
餐饮评论-1198,ID55,寿司
餐饮评论-1204,ID60,蜂蜜芥末
餐饮评论-1204,ID61,米饭
餐饮评论-1217,ID11,面包
餐饮评论-1220,ID54,榴莲千层
餐饮评论-1230,ID61,米饭
餐饮评论-1231,ID56,叉烧饭
餐饮评论-1242,ID54,榴莲千层
餐饮评论-1244,ID54,榴莲千层
餐饮评论-1244,ID16,饮料
餐饮评论-1245,ID53,奶油
餐饮评论-1246,ID53,奶油
餐饮评论-1248,ID16,饮料
餐饮评论-1249,ID62,泡芙
餐饮评论-1256,ID53,奶油
餐饮评论-1259,ID54,榴莲千层
餐饮评论-1263,ID53,奶油
餐饮评论-1266,ID52,榴莲蛋糕
餐饮评论-1276,ID56,叉烧饭
餐饮评论-1287,ID56,叉烧饭
餐饮评论-1288,ID53,奶油
餐饮评论-1291,ID52,榴莲蛋糕
餐饮评论-1291,ID53,奶油
餐饮评论-1311,ID53,奶油
餐饮评论-1325,ID54,榴莲千层
餐饮评论-1327,ID54,榴莲千层
餐饮评论-1334,ID63,肉松
餐饮评论-1335,ID54,榴莲千层
餐饮评论-1336,ID16,饮料
餐饮评论-1340,ID53,奶油
餐饮评论-1346,ID53,奶油
餐饮评论-1348,ID55,寿司
餐饮评论-1365,ID59,炸鸡
餐饮评论-1379,ID49,甜品
餐饮评论-1386,ID11,面包
餐饮评论-1391,ID54,榴莲千层
餐饮评论-1402,ID53,奶油
餐饮评论-1422,ID4,海鲜
餐饮评论-1425,ID53,奶油
餐饮评论-1435,ID55,寿司
餐饮评论-1442,ID54,榴莲千层
餐饮评论-1445,ID4,海鲜
餐饮评论-1457,ID54,榴莲千层
餐饮评论-1457,ID16,饮料
餐饮评论-1458,ID54,榴莲千层
餐饮评论-1465,ID56,叉烧饭
餐饮评论-1479,ID52,榴莲蛋糕
餐饮评论-1479,ID53,奶油
餐饮评论-1483,ID52,榴莲蛋糕
餐饮评论-1483,ID54,榴莲千层
餐饮评论-1496,ID53,奶油
餐饮评论-1498,ID54,榴莲千层
餐饮评论-1499,ID55,寿司
餐饮评论-1499,ID61,米饭
餐饮评论-1500,ID42,牛排
餐饮评论-1501,ID42,牛排
餐饮评论-1505,ID64,薯条
餐饮评论-1507,ID11,面包
餐饮评论-1513,ID65,拉面
餐饮评论-1516,ID11,面包
餐饮评论-1518,ID4,海鲜
餐饮评论-1523,ID11,面包
餐饮评论-1525,ID53,奶油
餐饮评论-1527,ID54,榴莲千层
餐饮评论-1529,ID53,奶油
餐饮评论-1546,ID52,榴莲蛋糕
餐饮评论-1546,ID62,泡芙
餐饮评论-1559,ID53,奶油
餐饮评论-1565,ID52,榴莲蛋糕
餐饮评论-1575,ID53,奶油
餐饮评论-1576,ID54,榴莲千层
餐饮评论-1579,ID54,榴莲千层
餐饮评论-1583,ID54,榴莲千层
餐饮评论-1584,ID52,榴莲蛋糕
餐饮评论-1584,ID54,榴莲千层
餐饮评论-1585,ID54,榴莲千层
餐饮评论-1598,ID16,饮料
餐饮评论-1600,ID54,榴莲千层
餐饮评论-1601,ID54,榴莲千层
餐饮评论-1604,ID56,叉烧饭
餐饮评论-1604,ID57,烧鸭饭
餐饮评论-1606,ID53,奶油
餐饮评论-1607,ID53,奶油
餐饮评论-1617,ID53,奶油
餐饮评论-1621,ID53,奶油
餐饮评论-1623,ID53,奶油
餐饮评论-1626,ID16,饮料
餐饮评论-1631,ID55,寿司
餐饮评论-1638,ID62,泡芙
餐饮评论-1639,ID52,榴莲蛋糕
餐饮评论-1645,ID63,肉松
餐饮评论-1647,ID53,奶油
餐饮评论-1661,ID49,甜品
餐饮评论-1661,ID54,榴莲千层
餐饮评论-1670,ID54,榴莲千层
餐饮评论-1672,ID16,饮料
餐饮评论-1674,ID53,奶油
餐饮评论-1691,ID53,奶油
餐饮评论-1691,ID54,榴莲千层
餐饮评论-1692,ID54,榴莲千层
餐饮评论-1696,ID53,奶油
餐饮评论-1698,ID54,榴莲千层
餐饮评论-1705,ID64,薯条
餐饮评论-1710,ID53,奶油
餐饮评论-1711,ID54,榴莲千层
餐饮评论-1729,ID66,牛肉
餐饮评论-1734,ID62,泡芙
餐饮评论-1738,ID66,牛肉
餐饮评论-1738,ID55,寿司
餐饮评论-1740,ID42,牛排
餐饮评论-1740,ID57,烧鸭饭
餐饮评论-1752,ID62,泡芙
餐饮评论-1753,ID62,泡芙
餐饮评论-1754,ID54,榴莲千层
餐饮评论-1755,ID53,奶油
餐饮评论-1757,ID54,榴莲千层
餐饮评论-1762,ID54,榴莲千层
餐饮评论-1769,ID62,泡芙
餐饮评论-1773,ID62,泡芙
餐饮评论-1774,ID54,榴莲千层
餐饮评论-1778,ID54,榴莲千层
餐饮评论-1785,ID57,烧鸭饭
餐饮评论-1797,ID62,泡芙
餐饮评论-1797,ID54,榴莲千层
餐饮评论-1801,ID54,榴莲千层
餐饮评论-1804,ID16,饮料
餐饮评论-1805,ID58,蔬菜
餐饮评论-1814,ID53,奶油
餐饮评论-1816,ID61,米饭
餐饮评论-1825,ID53,奶油
餐饮评论-1832,ID67,蛋挞
餐饮评论-1832,ID62,泡芙
餐饮评论-1839,ID62,泡芙
餐饮评论-1839,ID53,奶油
餐饮评论-1843,ID67,蛋挞
餐饮评论-1843,ID62,泡芙
餐饮评论-1844,ID62,泡芙
餐饮评论-1844,ID53,奶油
餐饮评论-1851,ID67,蛋挞
餐饮评论-1851,ID62,泡芙
餐饮评论-1861,ID62,泡芙
餐饮评论-1862,ID53,奶油
餐饮评论-1866,ID53,奶油
餐饮评论-1869,ID68,炒乌冬
餐饮评论-1869,ID42,牛排
餐饮评论-1869,ID64,薯条
餐饮评论-1869,ID69,凤梨
餐饮评论-1869,ID66,牛肉
餐饮评论-1869,ID65,拉面
餐饮评论-1869,ID58,蔬菜
餐饮评论-1869,ID4,海鲜
餐饮评论-1869,ID63,肉松
餐饮评论-1876,ID67,蛋挞
餐饮评论-1883,ID64,薯条
餐饮评论-1897,ID59,炸鸡
餐饮评论-1904,ID53,奶油
餐饮评论-1920,ID54,榴莲千层
餐饮评论-1929,ID54,榴莲千层
餐饮评论-1934,ID62,泡芙
餐饮评论-1936,ID54,榴莲千层
餐饮评论-1941,ID52,榴莲蛋糕
餐饮评论-1942,ID54,榴莲千层
餐饮评论-1945,ID62,泡芙
餐饮评论-1946,ID62,泡芙
餐饮评论-1948,ID16,饮料
餐饮评论-1949,ID67,蛋挞
餐饮评论-1949,ID62,泡芙
餐饮评论-1951,ID67,蛋挞
餐饮评论-1951,ID62,泡芙
餐饮评论-1957,ID11,面包
餐饮评论-1958,ID67,蛋挞
餐饮评论-1958,ID62,泡芙
餐饮评论-1958,ID53,奶油
餐饮评论-1959,ID53,奶油
餐饮评论-1963,ID16,饮料
餐饮评论-1964,ID62,泡芙
餐饮评论-1965,ID53,奶油
餐饮评论-1972,ID11,面包
餐饮评论-1972,ID53,奶油
餐饮评论-1973,ID67,蛋挞
餐饮评论-1973,ID62,泡芙
餐饮评论-1974,ID67,蛋挞
餐饮评论-1974,ID11,面包
餐饮评论-1974,ID62,泡芙
餐饮评论-1980,ID53,奶油
餐饮评论-1982,ID53,奶油
餐饮评论-1983,ID53,奶油
餐饮评论-1987,ID67,蛋挞
餐饮评论-1987,ID62,泡芙
餐饮评论-1991,ID42,牛排
餐饮评论-2000,ID53,奶油
餐饮评论-2002,ID42,牛排
餐饮评论-2006,ID54,榴莲千层
餐饮评论-2011,ID53,奶油
餐饮评论-2013,ID54,榴莲千层
餐饮评论-2021,ID16,饮料
餐饮评论-2024,ID42,牛排
餐饮评论-2024,ID64,薯条
餐饮评论-2027,ID54,榴莲千层
餐饮评论-2034,ID54,榴莲千层
餐饮评论-2049,ID55,寿司
餐饮评论-2049,ID61,米饭
餐饮评论-2059,ID55,寿司
餐饮评论-2065,ID70,刺身
餐饮评论-2089,ID53,奶油
餐饮评论-2098,ID16,饮料
餐饮评论-2104,ID42,牛排
餐饮评论-2105,ID53,奶油
餐饮评论-2115,ID55,寿司
餐饮评论-2117,ID70,刺身
餐饮评论-2131,ID42,牛排
餐饮评论-2140,ID16,饮料
餐饮评论-2146,ID52,榴莲蛋糕
餐饮评论-2151,ID67,蛋挞
餐饮评论-2151,ID62,泡芙
餐饮评论-2168,ID54,榴莲千层
餐饮评论-2171,ID54,榴莲千层
餐饮评论-2173,ID54,榴莲千层
餐饮评论-2178,ID59,炸鸡
餐饮评论-2179,ID53,奶油
餐饮评论-2190,ID64,薯条
餐饮评论-2193,ID53,奶油
餐饮评论-2199,ID55,寿司
餐饮评论-2219,ID54,榴莲千层
餐饮评论-2220,ID42,牛排
餐饮评论-2221,ID54,榴莲千层
餐饮评论-2224,ID71,火腿
餐饮评论-2224,ID66,牛肉
餐饮评论-2228,ID53,奶油
餐饮评论-2228,ID54,榴莲千层
餐饮评论-2236,ID53,奶油
餐饮评论-2237,ID53,奶油
餐饮评论-2248,ID62,泡芙
餐饮评论-2248,ID53,奶油
餐饮评论-2260,ID53,奶油
餐饮评论-2265,ID67,蛋挞
餐饮评论-2265,ID62,泡芙
餐饮评论-2269,ID53,奶油
餐饮评论-2277,ID54,榴莲千层
餐饮评论-2281,ID53,奶油
餐饮评论-2283,ID54,榴莲千层
餐饮评论-2288,ID55,寿司
餐饮评论-2296,ID59,炸鸡
餐饮评论-2298,ID53,奶油
餐饮评论-2299,ID53,奶油
餐饮评论-2299,ID54,榴莲千层
餐饮评论-2301,ID61,米饭
餐饮评论-2303,ID54,榴莲千层
餐饮评论-2307,ID54,榴莲千层
餐饮评论-2310,ID53,奶油
餐饮评论-2312,ID53,奶油
餐饮评论-2313,ID55,寿司
餐饮评论-2314,ID53,奶油
餐饮评论-2318,ID53,奶油
餐饮评论-2325,ID67,蛋挞
餐饮评论-2329,ID53,奶油
餐饮评论-2345,ID72,脆皮热狗卷
餐饮评论-2345,ID46,热狗
餐饮评论-2346,ID16,饮料
餐饮评论-2353,ID62,泡芙
